Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Feedback Comments,Sentiment
560,8,7,8,3,8,7,4,8,Concepts were explained in detail.,Neutral
621,10,4,5,1,5,10,1,10,Assignments were too difficult.,Negative
568,10,7,4,6,10,8,10,8,"Overall, the course was relevant and useful.",Positive
393,6,9,8,7,5,8,1,4,The presentations were very clear.,Positive
12,8,10,7,2,8,9,6,6,Great teaching style and very helpful!,Positive
798,7,2,8,7,10,5,3,5,Concepts were explained in detail.,Neutral
740,8,10,7,3,2,10,10,1,"Too many assignments, need balance.",Positive
184,10,9,8,6,4,8,8,9,"Overall, the course was relevant and useful.",Positive
410,7,2,5,2,6,6,3,10,Concepts were explained in detail.,Neutral
480,10,6,7,8,5,3,1,5,"Too many assignments, need balance.",Positive
84,7,4,6,10,7,7,8,9,Support was excellent and motivating.,Positive
89,9,9,4,5,1,2,3,9,Support was excellent and motivating.,Positive
763,6,9,6,7,6,10,2,5,Very satisfied with the teaching.,Positive
86,7,8,6,8,3,10,2,7,Concepts were explained in detail.,Neutral
867,6,4,6,4,2,7,5,3,Support was excellent and motivating.,Positive
248,6,6,4,6,6,6,2,3,"Too many assignments, need balance.",Positive
751,7,3,8,10,2,7,2,6,Very satisfied with the teaching.,Positive
522,6,9,8,10,9,5,3,6,"Too many assignments, need balance.",Positive
696,5,5,4,9,3,1,8,6,Very satisfied with the teaching.,Positive
274,8,2,4,7,10,8,5,8,Concepts were explained in detail.,Neutral
921,9,7,5,10,10,9,6,4,"Overall, the course was relevant and useful.",Positive
957,6,2,7,8,5,9,5,4,Assignments were too difficult.,Negative
88,9,4,4,9,9,9,7,10,Could use more real-world examples.,Positive
149,5,6,5,1,8,9,7,8,"Overall, the course was relevant and useful.",Positive
737,7,9,4,5,5,2,2,1,Sometimes explanations were confusing.,Negative
891,7,2,4,9,6,9,7,9,"Too many assignments, need balance.",Positive
1,9,6,8,7,6,5,3,10,Sometimes explanations were confusing.,Negative
868,7,9,7,2,6,2,9,4,"Overall, the course was relevant and useful.",Positive
895,5,5,7,7,2,1,8,9,Very satisfied with the teaching.,Positive
638,9,10,8,2,1,1,4,8,Could use more real-world examples.,Positive
707,5,6,6,5,1,9,6,9,Could use more real-world examples.,Positive
432,9,9,6,8,2,3,2,4,Great teaching style and very helpful!,Positive
988,7,4,6,7,6,9,7,1,Could use more real-world examples.,Positive
742,7,7,8,2,1,1,8,1,Assignments were too difficult.,Negative
730,6,5,4,5,6,6,7,2,Could use more real-world examples.,Positive
321,5,7,6,2,3,5,3,5,"Overall, the course was relevant and useful.",Positive
904,8,5,8,9,7,9,8,6,Great teaching style and very helpful!,Positive
171,6,10,4,6,1,6,2,3,"Overall, the course was relevant and useful.",Positive
695,10,4,4,1,5,8,7,1,"Overall, the course was relevant and useful.",Positive
498,8,5,4,5,10,7,1,10,The presentations were very clear.,Positive
446,7,8,5,10,10,2,5,9,Great teaching style and very helpful!,Positive
982,9,10,7,5,6,6,1,5,"Overall, the course was relevant and useful.",Positive
981,7,6,7,5,4,6,8,3,The presentations were very clear.,Positive
849,6,10,6,7,7,4,10,7,The presentations were very clear.,Positive
297,7,10,6,8,10,10,2,8,Great teaching style and very helpful!,Positive
713,8,6,7,5,2,7,10,8,Sometimes explanations were confusing.,Negative
192,8,4,8,6,3,5,1,5,Very satisfied with the teaching.,Positive
561,9,6,4,8,6,8,3,3,Assignments were too difficult.,Negative
364,6,6,7,9,6,4,7,6,Very satisfied with the teaching.,Positive
40,6,7,5,6,10,5,6,3,Could use more real-world examples.,Positive
521,5,9,4,2,1,8,3,7,Assignments were too difficult.,Negative
201,8,2,8,9,8,8,9,4,Could use more real-world examples.,Positive
780,6,4,4,10,6,5,6,8,"Overall, the course was relevant and useful.",Positive
853,7,9,4,8,9,4,10,2,"Too many assignments, need balance.",Positive
202,5,6,6,10,3,4,2,8,Great teaching style and very helpful!,Positive
421,6,3,8,10,6,8,7,9,Assignments were too difficult.,Negative
671,9,8,6,10,10,7,7,8,Assignments were too difficult.,Negative
334,5,9,4,3,8,10,4,2,"Overall, the course was relevant and useful.",Positive
843,6,8,5,4,5,5,10,6,Sometimes explanations were confusing.,Negative
57,10,7,6,10,4,4,2,4,The presentations were very clear.,Positive
353,6,7,5,3,6,6,7,5,"Overall, the course was relevant and useful.",Positive
681,7,2,7,5,2,1,3,7,Support was excellent and motivating.,Positive
394,6,3,6,10,7,4,3,3,The presentations were very clear.,Positive
188,7,6,8,9,9,8,9,10,Great teaching style and very helpful!,Positive
641,5,10,6,7,4,2,5,4,The presentations were very clear.,Positive
544,10,7,8,4,6,5,7,8,Sometimes explanations were confusing.,Negative
163,9,3,4,7,3,8,6,8,The presentations were very clear.,Positive
283,9,2,6,1,2,10,5,5,Great teaching style and very helpful!,Positive
820,6,5,4,9,2,5,10,7,Sometimes explanations were confusing.,Negative
254,6,6,6,8,9,4,4,8,Very satisfied with the teaching.,Positive
221,9,6,8,1,8,2,5,6,Assignments were too difficult.,Negative
736,8,2,8,8,2,6,5,4,Assignments were too difficult.,Negative
280,9,10,4,7,7,3,5,4,Could use more real-world examples.,Positive
976,5,2,5,5,7,9,4,3,Very satisfied with the teaching.,Positive
481,9,10,8,9,1,3,1,9,Very satisfied with the teaching.,Positive
80,7,6,4,1,5,6,1,8,The presentations were very clear.,Positive
473,10,10,7,5,2,6,10,5,Assignments were too difficult.,Negative
762,10,7,5,7,8,9,3,4,Great teaching style and very helpful!,Positive
385,5,2,6,7,3,2,10,1,Concepts were explained in detail.,Neutral
195,9,7,5,5,10,10,5,1,Concepts were explained in detail.,Neutral
144,8,6,5,6,3,8,2,6,Sometimes explanations were confusing.,Negative
767,10,10,8,3,9,6,4,8,Assignments were too difficult.,Negative
300,6,8,4,5,5,9,5,4,Assignments were too difficult.,Negative
580,5,2,5,8,6,5,4,9,Concepts were explained in detail.,Neutral
216,5,9,8,2,4,8,9,10,Assignments were too difficult.,Negative
583,9,3,4,6,5,3,8,7,The presentations were very clear.,Positive
881,7,9,5,9,4,5,4,8,Support was excellent and motivating.,Positive
488,8,8,6,9,7,4,6,1,"Too many assignments, need balance.",Positive
892,5,8,8,9,6,9,10,6,Very satisfied with the teaching.,Positive
152,7,2,5,1,5,10,5,6,Could use more real-world examples.,Positive
925,7,10,6,7,9,10,1,3,Sometimes explanations were confusing.,Negative
729,9,9,8,7,5,4,5,5,Support was excellent and motivating.,Positive
647,5,5,8,8,9,6,9,8,Concepts were explained in detail.,Neutral
686,8,6,5,5,2,6,5,8,Very satisfied with the teaching.,Positive
93,9,10,6,4,9,6,7,8,Assignments were too difficult.,Negative
485,8,4,7,1,4,7,1,4,Could use more real-world examples.,Positive
59,5,8,5,6,10,3,4,10,Assignments were too difficult.,Negative
907,10,4,7,6,1,2,5,1,Great teaching style and very helpful!,Positive
158,10,6,5,6,2,10,3,8,Great teaching style and very helpful!,Positive
955,10,4,4,1,10,1,10,10,Could use more real-world examples.,Positive
758,8,3,7,7,9,6,7,5,Could use more real-world examples.,Positive
605,6,4,4,4,7,5,5,2,Concepts were explained in detail.,Neutral
475,10,6,4,9,3,1,6,7,Could use more real-world examples.,Positive
154,9,7,4,8,2,6,3,9,The presentations were very clear.,Positive
79,6,4,6,6,6,4,9,10,Assignments were too difficult.,Negative
36,10,6,5,2,1,9,9,6,Support was excellent and motivating.,Positive
562,6,3,6,7,8,7,4,1,"Overall, the course was relevant and useful.",Positive
231,10,7,8,1,3,3,3,3,Could use more real-world examples.,Positive
869,8,7,6,2,9,4,1,7,Sometimes explanations were confusing.,Negative
608,7,4,6,5,4,7,8,7,Great teaching style and very helpful!,Positive
846,10,7,7,4,7,10,7,1,The presentations were very clear.,Positive
542,10,4,7,7,2,2,5,9,Very satisfied with the teaching.,Positive
941,9,3,7,2,9,7,3,1,"Overall, the course was relevant and useful.",Positive
919,10,2,8,5,6,3,8,5,Support was excellent and motivating.,Positive
352,6,2,6,3,5,3,8,6,"Overall, the course was relevant and useful.",Positive
839,9,2,5,10,4,4,9,1,Could use more real-world examples.,Positive
266,8,8,5,6,6,8,2,2,Concepts were explained in detail.,Neutral
298,8,4,8,9,7,1,7,3,Great teaching style and very helpful!,Positive
929,10,2,6,1,1,9,9,7,Great teaching style and very helpful!,Positive
574,6,4,8,5,9,5,7,10,Very satisfied with the teaching.,Positive
250,5,7,7,3,1,6,3,1,Concepts were explained in detail.,Neutral
616,9,8,6,9,6,3,5,8,Assignments were too difficult.,Negative
164,8,5,7,10,8,9,10,1,"Too many assignments, need balance.",Positive
827,6,3,4,9,7,8,7,6,The presentations were very clear.,Positive
228,7,6,6,1,6,6,6,9,Great teaching style and very helpful!,Positive
787,10,10,5,10,1,9,3,8,Sometimes explanations were confusing.,Negative
317,8,8,4,1,10,10,9,1,Great teaching style and very helpful!,Positive
110,9,6,4,1,4,7,9,5,"Overall, the course was relevant and useful.",Positive
165,6,2,6,2,2,10,2,2,Great teaching style and very helpful!,Positive
701,5,9,7,1,9,9,1,9,Great teaching style and very helpful!,Positive
362,7,9,6,7,4,8,1,2,"Too many assignments, need balance.",Positive
890,8,7,5,3,9,1,4,5,"Too many assignments, need balance.",Positive
728,10,9,4,8,5,2,3,10,Support was excellent and motivating.,Positive
466,9,8,5,5,6,2,10,4,Assignments were too difficult.,Negative
709,9,3,6,4,4,8,10,1,Sometimes explanations were confusing.,Negative
482,10,3,4,3,10,1,8,5,Great teaching style and very helpful!,Positive
406,9,10,6,1,6,1,9,2,Great teaching style and very helpful!,Positive
66,8,5,8,7,6,1,9,9,The presentations were very clear.,Positive
862,6,5,6,5,7,2,10,8,"Too many assignments, need balance.",Positive
61,9,8,6,5,3,10,6,6,Sometimes explanations were confusing.,Negative
111,7,9,7,1,10,10,3,10,Very satisfied with the teaching.,Positive
147,6,8,4,6,9,6,8,7,Support was excellent and motivating.,Positive
211,7,4,4,3,7,8,7,10,Assignments were too difficult.,Negative
996,6,5,6,10,8,7,8,4,Concepts were explained in detail.,Neutral
459,8,5,8,6,6,1,8,4,Assignments were too difficult.,Negative
81,5,5,6,5,7,3,9,5,"Overall, the course was relevant and useful.",Positive
288,5,9,6,9,4,4,2,6,Great teaching style and very helpful!,Positive
6,7,10,8,3,3,4,1,2,Support was excellent and motivating.,Positive
547,6,6,8,5,1,2,2,8,"Overall, the course was relevant and useful.",Positive
30,6,2,7,5,1,10,9,10,Sometimes explanations were confusing.,Negative
445,9,4,4,2,4,8,1,6,Concepts were explained in detail.,Neutral
591,6,9,8,5,10,6,2,10,"Too many assignments, need balance.",Positive
770,10,10,5,7,10,7,7,10,Support was excellent and motivating.,Positive
484,9,6,8,10,3,2,8,4,Support was excellent and motivating.,Positive
180,8,4,4,1,6,9,6,1,Great teaching style and very helpful!,Positive
946,5,5,5,6,1,3,10,5,Could use more real-world examples.,Positive
901,9,8,6,1,2,9,8,2,Support was excellent and motivating.,Positive
517,10,5,7,7,5,10,6,5,The presentations were very clear.,Positive
545,9,4,8,1,8,6,2,4,Concepts were explained in detail.,Neutral
918,8,3,8,9,9,1,6,1,Concepts were explained in detail.,Neutral
652,8,3,4,8,3,2,2,3,The presentations were very clear.,Positive
471,10,10,4,8,2,2,4,7,Very satisfied with the teaching.,Positive
323,6,8,7,5,4,1,9,3,The presentations were very clear.,Positive
276,8,5,7,9,1,10,1,2,The presentations were very clear.,Positive
672,7,8,5,6,5,10,5,10,Concepts were explained in detail.,Neutral
337,10,7,6,8,9,5,1,1,Assignments were too difficult.,Negative
468,7,7,8,4,2,1,5,10,Concepts were explained in detail.,Neutral
380,8,8,4,8,2,4,9,2,Could use more real-world examples.,Positive
755,9,8,7,2,9,6,3,7,Great teaching style and very helpful!,Positive
267,8,9,4,4,8,4,8,1,"Overall, the course was relevant and useful.",Positive
598,9,3,4,9,3,4,5,1,Assignments were too difficult.,Negative
128,6,2,6,1,9,3,9,2,"Too many assignments, need balance.",Positive
444,8,2,6,10,7,2,4,8,"Overall, the course was relevant and useful.",Positive
572,6,5,4,4,8,6,8,9,Great teaching style and very helpful!,Positive
319,8,3,6,6,7,10,8,4,Could use more real-world examples.,Positive
390,8,6,7,5,1,4,3,9,Could use more real-world examples.,Positive
176,10,2,6,7,4,10,1,3,"Too many assignments, need balance.",Positive
883,7,4,4,2,8,6,7,4,Assignments were too difficult.,Negative
831,5,2,8,3,5,10,7,7,Very satisfied with the teaching.,Positive
220,10,5,8,7,9,7,2,7,The presentations were very clear.,Positive
17,7,6,5,3,9,5,5,2,Assignments were too difficult.,Negative
938,10,10,6,5,2,9,9,9,Very satisfied with the teaching.,Positive
651,8,7,6,3,9,10,6,1,Could use more real-world examples.,Positive
953,5,10,8,10,6,4,6,4,Concepts were explained in detail.,Neutral
902,5,8,6,10,4,5,5,9,Great teaching style and very helpful!,Positive
167,7,7,5,8,6,9,9,8,"Too many assignments, need balance.",Positive
669,9,3,4,5,2,2,1,6,Great teaching style and very helpful!,Positive
859,8,3,5,9,10,3,1,6,Sometimes explanations were confusing.,Negative
120,8,4,7,5,4,4,10,6,Sometimes explanations were confusing.,Negative
293,10,4,7,1,6,7,7,4,Assignments were too difficult.,Negative
789,10,2,8,7,9,8,1,4,Could use more real-world examples.,Positive
182,5,2,7,2,3,6,1,9,Could use more real-world examples.,Positive
369,10,5,4,4,3,7,4,10,The presentations were very clear.,Positive
207,6,8,6,7,9,7,2,5,The presentations were very clear.,Positive
842,10,7,5,3,3,6,4,6,The presentations were very clear.,Positive
38,5,8,7,6,10,8,9,5,Concepts were explained in detail.,Neutral
495,5,4,7,9,6,10,5,9,"Overall, the course was relevant and useful.",Positive
942,10,6,8,3,7,8,4,5,Support was excellent and motivating.,Positive
752,10,7,4,4,4,9,10,7,"Overall, the course was relevant and useful.",Positive
940,7,3,6,9,10,8,3,5,Great teaching style and very helpful!,Positive
648,5,7,7,9,6,3,10,3,"Overall, the course was relevant and useful.",Positive
125,6,2,4,5,9,7,7,7,Concepts were explained in detail.,Neutral
516,10,2,8,9,2,3,3,1,Great teaching style and very helpful!,Positive
963,9,6,4,5,3,3,6,6,"Overall, the course was relevant and useful.",Positive
215,5,6,6,2,1,9,5,8,Concepts were explained in detail.,Neutral
823,7,5,8,3,4,3,1,10,Support was excellent and motivating.,Positive
840,5,7,5,6,9,9,10,6,"Overall, the course was relevant and useful.",Positive
429,8,3,5,1,8,1,8,9,Concepts were explained in detail.,Neutral
109,6,3,5,6,1,6,6,10,The presentations were very clear.,Positive
795,6,9,8,4,2,6,10,6,Could use more real-world examples.,Positive
760,9,4,4,3,8,5,10,1,The presentations were very clear.,Positive
536,10,10,4,7,8,7,6,2,Could use more real-world examples.,Positive
888,6,6,5,2,3,6,6,3,"Too many assignments, need balance.",Positive
719,10,10,8,7,6,10,6,4,"Too many assignments, need balance.",Positive
654,6,4,4,9,5,8,8,2,"Too many assignments, need balance.",Positive
947,7,3,8,1,5,9,7,2,Support was excellent and motivating.,Positive
403,5,7,6,6,5,6,4,6,The presentations were very clear.,Positive
124,9,9,7,9,1,9,4,3,Could use more real-world examples.,Positive
548,9,8,6,7,1,2,7,6,Concepts were explained in detail.,Neutral
880,7,3,6,3,5,3,3,10,Great teaching style and very helpful!,Positive
939,10,10,7,4,1,2,3,9,Concepts were explained in detail.,Neutral
166,6,10,4,4,4,8,4,6,Great teaching style and very helpful!,Positive
885,5,6,7,7,2,2,5,7,Sometimes explanations were confusing.,Negative
112,7,9,6,9,1,7,1,2,Concepts were explained in detail.,Neutral
811,8,8,8,6,1,4,9,1,"Overall, the course was relevant and useful.",Positive
213,10,8,4,10,1,5,6,2,"Overall, the course was relevant and useful.",Positive
375,10,4,4,1,3,4,7,9,Assignments were too difficult.,Negative
897,6,7,4,1,9,8,8,7,The presentations were very clear.,Positive
460,7,8,5,6,7,7,6,7,Great teaching style and very helpful!,Positive
416,6,2,5,8,9,6,3,7,Great teaching style and very helpful!,Positive
571,8,9,7,3,1,8,9,7,The presentations were very clear.,Positive
744,8,5,7,3,10,4,6,7,Support was excellent and motivating.,Positive
378,9,8,7,2,4,7,2,6,Assignments were too difficult.,Negative
121,5,9,5,2,4,5,6,6,Support was excellent and motivating.,Positive
462,10,4,8,5,4,6,4,7,Support was excellent and motivating.,Positive
777,8,6,4,6,4,7,10,1,Support was excellent and motivating.,Positive
845,5,10,6,8,4,4,4,5,The presentations were very clear.,Positive
533,6,10,5,7,2,5,10,10,Support was excellent and motivating.,Positive
450,5,2,6,2,4,5,1,4,"Overall, the course was relevant and useful.",Positive
717,6,2,4,6,6,2,6,9,"Too many assignments, need balance.",Positive
469,10,8,6,1,3,5,8,10,Sometimes explanations were confusing.,Negative
670,7,7,8,1,6,1,2,1,Great teaching style and very helpful!,Positive
137,8,2,5,2,4,9,7,8,Great teaching style and very helpful!,Positive
801,10,7,4,3,6,1,10,4,Sometimes explanations were confusing.,Negative
315,5,10,5,10,8,4,8,4,The presentations were very clear.,Positive
153,7,7,5,3,8,9,8,9,Concepts were explained in detail.,Neutral
190,8,6,7,5,6,4,3,8,The presentations were very clear.,Positive
22,7,9,4,1,2,8,10,4,Great teaching style and very helpful!,Positive
949,9,8,7,1,7,6,9,4,Great teaching style and very helpful!,Positive
523,10,2,6,9,7,5,10,9,Sometimes explanations were confusing.,Negative
527,5,6,5,2,8,6,9,8,Support was excellent and motivating.,Positive
461,7,10,7,6,6,8,4,9,The presentations were very clear.,Positive
244,5,8,4,9,3,10,1,3,Could use more real-world examples.,Positive
363,9,3,8,10,2,7,5,1,Sometimes explanations were confusing.,Negative
610,8,10,6,8,2,1,5,1,"Overall, the course was relevant and useful.",Positive
381,9,2,8,8,1,9,1,2,Great teaching style and very helpful!,Positive
954,8,8,6,3,9,5,7,2,Sometimes explanations were confusing.,Negative
604,10,9,8,9,4,8,7,9,The presentations were very clear.,Positive
414,10,6,4,8,2,9,9,3,Great teaching style and very helpful!,Positive
151,8,7,5,10,8,3,8,6,Concepts were explained in detail.,Neutral
721,6,9,4,1,4,10,10,9,Sometimes explanations were confusing.,Negative
664,10,8,7,4,8,2,1,10,Assignments were too difficult.,Negative
956,7,2,6,5,2,3,8,7,Great teaching style and very helpful!,Positive
747,5,3,5,6,5,10,3,6,The presentations were very clear.,Positive
438,9,6,5,9,2,3,9,3,"Too many assignments, need balance.",Positive
975,5,10,4,8,7,6,8,3,Could use more real-world examples.,Positive
277,5,6,8,7,2,7,1,10,Very satisfied with the teaching.,Positive
312,7,2,7,6,6,3,7,2,Support was excellent and motivating.,Positive
565,10,9,7,10,4,8,5,4,Very satisfied with the teaching.,Positive
739,8,7,5,10,1,1,8,1,The presentations were very clear.,Positive
584,8,8,5,8,6,6,9,4,"Overall, the course was relevant and useful.",Positive
894,6,3,5,4,7,1,5,5,"Overall, the course was relevant and useful.",Positive
270,9,10,5,9,6,4,7,7,"Too many assignments, need balance.",Positive
966,7,4,5,3,1,8,10,2,Support was excellent and motivating.,Positive
489,7,2,5,8,1,1,8,8,Assignments were too difficult.,Negative
665,6,3,4,2,8,5,8,5,"Too many assignments, need balance.",Positive
71,9,10,8,4,9,3,8,2,Very satisfied with the teaching.,Positive
603,7,2,7,1,7,7,1,7,"Too many assignments, need balance.",Positive
196,8,10,8,10,6,7,7,7,Very satisfied with the teaching.,Positive
804,9,3,7,6,10,7,9,7,Great teaching style and very helpful!,Positive
837,5,10,4,1,4,8,9,1,"Overall, the course was relevant and useful.",Positive
530,6,5,4,9,1,2,3,6,Great teaching style and very helpful!,Positive
720,6,6,6,9,10,4,6,7,Could use more real-world examples.,Positive
272,5,4,6,4,4,7,7,9,Support was excellent and motivating.,Positive
984,5,10,6,4,2,10,4,6,Assignments were too difficult.,Negative
185,10,3,8,4,1,10,7,9,Very satisfied with the teaching.,Positive
487,6,6,4,2,10,10,1,9,Assignments were too difficult.,Negative
75,8,9,8,6,2,7,9,10,Very satisfied with the teaching.,Positive
718,6,3,6,7,6,6,2,6,The presentations were very clear.,Positive
496,10,7,4,6,10,5,3,6,"Too many assignments, need balance.",Positive
630,5,5,4,8,3,6,6,8,Could use more real-world examples.,Positive
637,8,10,5,6,10,8,2,2,"Overall, the course was relevant and useful.",Positive
360,9,9,8,2,3,1,8,6,Very satisfied with the teaching.,Positive
183,6,7,5,5,4,7,1,9,Assignments were too difficult.,Negative
689,10,8,7,8,1,9,5,10,Could use more real-world examples.,Positive
236,6,9,6,4,1,2,8,4,Concepts were explained in detail.,Neutral
768,6,6,6,3,5,9,8,3,Concepts were explained in detail.,Neutral
316,7,2,7,8,6,4,2,9,Great teaching style and very helpful!,Positive
396,6,10,4,6,1,2,4,10,"Overall, the course was relevant and useful.",Positive
212,6,4,4,6,5,10,10,2,The presentations were very clear.,Positive
830,9,7,7,10,7,8,6,4,Assignments were too difficult.,Negative
209,9,8,5,3,3,10,7,2,"Too many assignments, need balance.",Positive
62,7,4,4,5,3,10,2,1,"Too many assignments, need balance.",Positive
447,8,7,7,1,4,7,10,9,Assignments were too difficult.,Negative
100,6,6,6,10,7,5,7,8,Support was excellent and motivating.,Positive
305,10,8,8,4,6,3,10,4,The presentations were very clear.,Positive
494,10,6,6,6,4,10,2,9,Could use more real-world examples.,Positive
328,10,6,5,4,6,10,8,2,Very satisfied with the teaching.,Positive
854,8,2,8,4,6,2,4,7,Support was excellent and motivating.,Positive
866,5,10,4,8,3,7,4,5,Very satisfied with the teaching.,Positive
943,8,9,7,10,6,7,7,6,Very satisfied with the teaching.,Positive
734,9,8,5,3,10,1,8,3,Support was excellent and motivating.,Positive
189,9,3,6,2,3,8,10,7,Great teaching style and very helpful!,Positive
404,10,5,7,8,1,5,10,4,Concepts were explained in detail.,Neutral
518,7,4,8,5,7,9,2,6,Very satisfied with the teaching.,Positive
856,6,9,4,6,8,8,3,8,Support was excellent and motivating.,Positive
70,9,2,5,8,10,9,7,6,Support was excellent and motivating.,Positive
457,7,4,8,2,3,6,8,4,Sometimes explanations were confusing.,Negative
148,5,4,4,4,8,10,5,5,Great teaching style and very helpful!,Positive
958,10,10,5,8,5,10,7,8,"Overall, the course was relevant and useful.",Positive
356,7,3,7,6,4,2,1,10,Sometimes explanations were confusing.,Negative
793,10,9,6,4,7,6,8,3,Sometimes explanations were confusing.,Negative
771,8,7,6,4,8,7,3,2,Assignments were too difficult.,Negative
452,5,6,7,9,7,8,6,1,Concepts were explained in detail.,Neutral
72,8,7,7,3,4,1,4,7,Support was excellent and motivating.,Positive
710,7,2,6,5,7,7,6,10,Concepts were explained in detail.,Neutral
980,6,3,7,1,5,4,9,4,The presentations were very clear.,Positive
145,6,8,4,6,1,3,2,7,Assignments were too difficult.,Negative
960,6,9,6,1,3,3,5,8,"Overall, the course was relevant and useful.",Positive
660,5,7,7,3,10,3,3,4,Concepts were explained in detail.,Neutral
987,9,10,7,8,7,3,8,7,"Too many assignments, need balance.",Positive
534,9,5,7,5,2,6,10,8,Very satisfied with the teaching.,Positive
858,9,5,5,3,2,2,7,7,The presentations were very clear.,Positive
324,10,5,5,2,2,5,7,6,Great teaching style and very helpful!,Positive
884,7,4,7,10,5,1,7,4,"Overall, the course was relevant and useful.",Positive
611,8,9,5,3,9,5,8,3,The presentations were very clear.,Positive
136,8,6,7,10,9,9,2,3,Very satisfied with the teaching.,Positive
705,9,3,6,3,3,5,1,2,Assignments were too difficult.,Negative
991,7,4,5,8,9,8,5,1,Very satisfied with the teaching.,Positive
676,9,8,5,7,4,10,2,6,Sometimes explanations were confusing.,Negative
769,9,8,8,8,1,1,8,5,Very satisfied with the teaching.,Positive
246,7,10,8,8,4,10,3,8,Sometimes explanations were confusing.,Negative
644,9,6,8,2,7,6,4,6,Assignments were too difficult.,Negative
263,7,9,4,7,9,8,10,7,Could use more real-world examples.,Positive
476,9,4,6,4,8,6,4,10,Sometimes explanations were confusing.,Negative
697,7,7,6,1,8,10,5,2,Great teaching style and very helpful!,Positive
95,7,2,5,5,9,6,8,3,Very satisfied with the teaching.,Positive
688,8,6,7,5,6,1,4,10,Very satisfied with the teaching.,Positive
633,8,2,4,7,4,6,7,4,Great teaching style and very helpful!,Positive
241,8,3,8,8,10,1,8,6,"Too many assignments, need balance.",Positive
524,9,8,4,6,10,1,9,10,Support was excellent and motivating.,Positive
504,9,4,5,6,6,1,7,10,Could use more real-world examples.,Positive
